TreeDepth,Index,Address,Module,Symbol
0,320,0x819e6bc2,ntoskrnl,NtSetThreadExecutionState
0,321,0x81873d03,ntoskrnl,NtSetTimer
0,322,0x819ed36e,ntoskrnl,NtSetTimerResolution
0,323,0x819983b6,ntoskrnl,NtSetUuidSeed
0,324,0x81a22960,ntoskrnl,NtSetValueKey
0,325,0x81aabb66,ntoskrnl,NtSetVolumeInformationFile
0,326,0x81aeddf1,ntoskrnl,NtShutdownSystem
0,327,0x818f88f0,ntoskrnl,NtSignalAndWaitForSingleObject
0,328,0x81af67a8,ntoskrnl,NtStartProfile
0,329,0x81af6981,ntoskrnl,NtStopProfile
0,330,0x81acf693,ntoskrnl,NtSuspendProcess
0,331,0x81a8c6b8,ntoskrnl,NtSuspendThread
0,332,0x81a379b4,ntoskrnl,NtSystemDebugControl
0,333,0x81a0f1a0,ntoskrnl,NtTerminateJobObject
0,334,0x81a1ce84,ntoskrnl,NtTerminateProcess
0,335,0x81a4961d,ntoskrnl,NtTerminateThread
0,336,0x81a3b997,ntoskrnl,NtTestAlert
0,337,0x818fcced,ntoskrnl,NtThawRegistry
0,338,0x81adeec1,ntoskrnl,NtThawTransactions
0,339,0x81866841,ntoskrnl,NtTraceEvent
0,340,0x81a28af2,ntoskrnl,NtTraceControl
0,341,0x81af2327,ntoskrnl,NtTranslateFilePath
0,342,0x81aac3ba,ntoskrnl,NtUnloadDriver
0,343,0x81a89cdc,ntoskrnl,NtUnloadKey
0,344,0x81a89cf6,ntoskrnl,NtUnloadKey2
0,345,0x81a8f85b,ntoskrnl,NtUnloadKeyEx
0,346,0x81a153c1,ntoskrnl,NtUnlockFile
0,347,0x81853e8d,ntoskrnl,NtUnlockVirtualMemory
0,348,0x81a5ec99,ntoskrnl,NtUnmapViewOfSection
0,349,0x81ae25f9,ntoskrnl,NtVdmControl
0,350,0x81aa1803,ntoskrnl,NtWaitForDebugEvent
0,351,0x81a52b76,ntoskrnl,NtWaitForMultipleObjects
0,352,0x81a83289,ntoskrnl,NtWaitForSingleObject
0,353,0x81af615d,ntoskrnl,NtWaitHighEventPair
0,354,0x81af60f4,ntoskrnl,NtWaitLowEventPair
0,355,0x81a610e7,ntoskrnl,NtWriteFile
0,356,0x81a10274,ntoskrnl,NtWriteFileGather
0,357,0x81abc25e,ntoskrnl,NtWriteRequestData
0,358,0x81a47b5d,ntoskrnl,NtWriteVirtualMemory
0,359,0x8186119c,ntoskrnl,NtYieldExecution
0,360,0x819f6374,ntoskrnl,NtCreateKeyedEvent
0,361,0x81af6b3d,ntoskrnl,NtOpenKeyedEvent
0,362,0x81a33ecc,ntoskrnl,NtReleaseKeyedEvent
0,363,0x81a33058,ntoskrnl,NtWaitForKeyedEvent
0,364,0x81ace492,ntoskrnl,NtQueryPortInformationProcess
0,365,0x81a8c93b,ntoskrnl,NtGetCurrentProcessorNumber
0,366,0x81ac5317,ntoskrnl,NtWaitForMultipleObjects32
0,367,0x81acf8ac,ntoskrnl,NtGetNextProcess
0,368,0x81acfb19,ntoskrnl,NtGetNextThread
0,369,0x81aaa39f,ntoskrnl,NtCancelIoFileEx
0,370,0x81aaa4df,ntoskrnl,NtCancelSynchronousIoFile
0,371,0x819f8365,ntoskrnl,NtRemoveIoCompletionEx
0,372,0x819b01f3,ntoskrnl,NtRegisterProtocolAddressInformation
0,373,0x81ae1663,ntoskrnl,NtPropagationComplete
0,374,0x81ae1732,ntoskrnl,NtPropagationFailed
0,375,0x819f6934,ntoskrnl,NtCreateWorkerFactory
0,376,0x81876e4b,ntoskrnl,NtReleaseWorkerFactoryWorker
0,377,0x81876983,ntoskrnl,NtWaitForWorkViaWorkerFactory
0,378,0x818554fe,ntoskrnl,NtSetInformationWorkerFactory
0,379,0x81920301,ntoskrnl,NtQueryInformationWorkerFactory
0,380,0x8186910a,ntoskrnl,NtWorkerFactoryWorkerReady
0,381,0x819f1ef9,ntoskrnl,NtShutdownWorkerFactory
0,382,0x81a3bae8,ntoskrnl,NtCreateThreadEx
0,383,0x81a02ccf,ntoskrnl,NtCreateUserProcess
0,384,0x81a003a3,ntoskrnl,NtQueryLicenseValue
0,385,0x81a0976d,ntoskrnl,NtMapCMFModule
0,386,0x819bfba7,ntoskrnl,NtIsUILanguageComitted
0,387,0x819bfcb8,ntoskrnl,NtFlushInstallUILanguage
0,388,0x81a05c97,ntoskrnl,NtGetMUIRegistryInfo
0,389,0x81af6c3c,ntoskrnl,NtAcquireCMFViewOwnership
0,390,0x81af6e03,ntoskrnl,NtReleaseCMFViewOwnership
